,,,,,,,,,,,,,,,,,,,,,,,,,,,NSE,NSE,
,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Finance S / Interim SQ,Finance S / Interim SQ,Annual Finance Standalone
,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Times,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Times,Rs.,Rs.,Rs. Million
,Jun 2010,Jun 2010,Jun 2010,Jun 2010,Jun 2010,Jun 2010,Jun 2010,Jun 2010,Jun 2010,Jun 2010,Jun 2010,Jun 2010,Jun 2010,Jun 2011,Jun 2011,Jun 2011,Jun 2011,Jun 2011,Jun 2011,Jun 2011,Jun 2011,Jun 2011,Jun 2011,Jun 2011,Jun 2011,Jun 2011,01 Jul 2011,29 Jun 2012,Jul-09
Company Name,Total income,Net sales,Extra-ordinary income,Extra-ordinary expenses,Total expenses,Cost of goods sold,Income from financial services,Current liabilities,Total term liabilities,Total assets,Current assets,Net cash flow from operating activities,PB on NSE,Total income,Net sales,Extra-ordinary income,Extra-ordinary expenses,Total expenses,Cost of goods sold,Income from financial services,Current liabilities,Total term liabilities,Total assets,Current assets,Net cash flow from operating activities,PB on NSE,Adjusted Closing Price ,Adjusted Closing Price ,Total assets
Balrampur Chini Mills Ltd.,30925.8,29277.5,32,182.3,41255.9,23935.44,164.4,2395,7166.8,39896.1,17668.9,-6318.8,1.39,30925.8,29277.5,32,182.3,41255.9,23935.44,164.4,2395,7166.8,39896.1,17668.9,-6318.8,1.39,62.65,51.75,27653.5
Bank Of Baroda,200509,,12.6,12.1,169925.7,20148.2,191387.7,79096,132418.9,2783166.9,385207.9,203656.7,1.54,249754.1,,13.7,15.5,207337.3,21933.46,239231.2,64688.6,221933.7,3583971.8,532443.1,149301.8,1.91,174.16,146.58,2266722.3
Bank Of India,204946.2,,,,187535.5,18203.9,199587.7,80003.1,223081.2,2749664.7,342631.7,187269.3,1.4,243934.9,,,,219047.8,26977.12,237835.7,122682.7,218429.6,3511725.6,466900.2,260194.2,1.63,414.2,347.05,2259316.6
Bata India Ltd.,12938.8,12488.4,3.3,6.4,12212.9,8553.9,84.7,3269.1,,8111,4740.4,1628.4,6.4,16959.9,15281.8,25,0,15598.2,10208.77,1188.1,2782.5,,9242.1,5497.5,697.9,6.25,305.25,433.15,6158.9
Bharat Electronics Ltd.,55953.8,51960.2,34.2,313.5,49122.6,39885.07,2406.2,44310.3,7.3,109182.2,87168.5,10277.4,4.05,59434.5,55163.4,13.6,,50913.4,41554.14,2726.7,75850.3,4.1,156926.5,123718.9,30175.3,2.69,540.97,446.83,100810.5
Bharat Forge Ltd.,19817.8,18430.3,,0.6,18818.4,13452.51,371,7032.2,17418.5,45154.4,12541.9,5330.8,3.71,31502.1,29424.5,,0.4,28752,21164.98,306.5,6905.7,14545.3,44869.6,12059.8,3410.1,4.05,306.25,300.05,41711.2
Bharat Heavy Electricals Ltd.,384327.7,331707.4,3,,349087.8,259151.66,9498.1,280237.3,1221.9,544094.8,416852.1,14269.9,7.35,459906.5,419720.8,42.7,,401068,287455.49,7564.8,313465.7,1595.9,677157.4,490661.2,26586.1,5.01,410.07,232.45,483337.3
Bharat Petroleum Corpn. Ltd.,1337731.1,1215140.1,40.7,,1362254.3,1145515.33,18197.1,145505.6,121513.3,545666.5,194900.3,-15466,1.43,1650841,1508953.3,,76.9,1655936.2,1432628.17,11154.5,195058.9,148603.2,571988.2,238588.3,30091,1.57,322.57,371.98,481777.4
Bharti Airtel Ltd.,368381,355891,,171,274114,200752.7,11389,122848,43667,613388,46038,126282,3.23,385095,380096,5,246,307926,229357.4,2102,133996,99131,796311,35530,132302,3.08,383.45,305.05,533022.5
Bhushan Steel Ltd.,61210.9,56165.3,18.7,,55707.5,42184.27,1125.9,15671.3,108146.6,173401.6,32953.5,3952.4,1.8,76458.1,69299.3,18.9,,71124.6,47753.53,671.5,20191.6,127819.5,252715.4,44021.5,10077,1.59,430.73,456.6,121510.2
Biocon Ltd.,12650.8,11613.3,,28.3,10556.7,8006.69,212.3,3796.2,1650.6,22771.6,8410.6,2205.4,3.63,17437,15578,,3,13122,9918.1,469,3196,1614,26141,9157,3479,3.55,363.65,237.7,18861.9
Bombay Dyeing & Mfg. Co. Ltd.,19850.8,19094.6,,1.7,17209.8,12610.24,200.2,3098.6,15303.9,24458.9,8217.9,750.3,10.11,20143.9,18619.4,,7,28433.2,23113.3,299.9,2812.9,10081.7,28113.3,12549.7,5519.7,4.61,73.12,107.52,25470.6
Bombay Rayon Fashions Ltd.,16304.3,16147.7,,14.6,16045.6,11427.76,133.1,1760.2,13543.6,46994.6,10989.2,361.5,1.27,22783.3,22508.1,,0.8,22573,16568.18,212.4,3901,15836.7,64003.1,17770.2,-25.6,1.28,285.65,239.15,31085.2
Bosch Ltd.,75366.9,66848.2,6.8,,68721.9,49471.91,1994.8,13370.5,2733.5,73380.7,29441,8702.8,4.83,91004,80605,9,,81871,59143.4,3194,15272,2890,71576,31607,3809,4.5,6879.5,9112.2,50177.3
C E S C Ltd.,35272.1,33595.7,14.5,,30939.1,24552.34,1043,29618.7,25026.1,113702.6,19034.5,8612.2,1.25,43191,42251.2,,7.8,38307,29595.2,830.3,30068.7,25268.5,120015.5,17421.2,9925.1,0.9,294.8,289.7,103551.3
Cairn India Ltd.,1721.7,32,,,2411.2,158.35,1560.9,1480.7,13450,335160.6,1965.8,-1280.6,1.82,951,18.8,,,3077.7,221.4,927.1,1538,13500,333192.7,6736.4,-531,2.1,325.8,307.55,321905.4
Canara Bank,227402.4,,27.8,,197188.1,18368.32,216552.6,58703.7,84405.5,2650516.8,224544.8,215734.6,1.34,283454.7,,4.5,,243195.8,23777.47,269441.2,80654.3,142616.4,3362348.7,372109.5,181173.5,1.55,527.8,412.65,2196458.1
Central Bank Of India,138220.6,,,3.2,127638.3,12486.79,134570.3,52373.8,72806.6,1831007.6,221832.7,74758.8,1.36,164857.2,,,1.1,152333.1,20707.59,162106.4,64936.3,128815.1,2101306.3,196305.5,-69789.3,1.64,126.1,81.95,1480168.8
Century Textiles & Inds. Ltd.,50402.2,45876.5,64.2,46.2,48129.5,27279.84,125.5,8104.3,13730.8,58680.9,11870.2,6054.2,2.69,52881.9,47600.3,214.3,23.9,50887.6,30341.61,87.1,8053.5,16786.7,64848.4,14577.5,4763.5,1.68,365.5,309.6,46317.4
Chambal Fertilisers & Chemicals Ltd.,36519.5,35476.7,50.4,,33268.5,26168.6,456.3,2276.6,19783.7,46744.8,11760.2,-1610,1.84,47506.4,46549.6,75.4,28.2,45390.8,35234.24,694.3,2630.1,22784.4,48266.4,13570.1,5663.3,2.03,80,73.15,52845.2
Chennai Petroleum Corpn. Ltd.,302504.1,255343.4,0.4,31.2,303051.8,239859.58,1821.3,23910.6,15611.5,114741.4,62867.7,-14973.6,1.27,391503.5,338653,0.1,,390854.4,317511.2,561.4,43372.9,23771.6,135743.8,81205.6,9352,0.88,227.4,120.9,83396.8
Cipla Ltd.,58604,56217.2,963.4,10.5,50441,34783.86,280.5,9612,46.6,85278.3,33997.2,11102.6,4.6,64903.7,63233.7,107,47.2,56686.9,43066.56,374.6,9319.1,38.3,89881.9,37211.9,9500,3.91,326.9,316.55,76125.5
Colgate-Palmolive (India) Ltd.,21237.1,20048.2,29.3,,17143.3,10470.69,281.2,4266.5,45.9,9014.6,4734,3486.3,28.16,24316.8,22734.1,,0.6,20591.6,11936.88,304.9,5915.9,0.5,14922.6,6322.3,3126.8,28.83,501.73,598.63,7897.2
Core Education & Technologies Ltd.,4265.3,4179.5,,,3290.8,2371.74,85.8,221,918.3,11013.4,2523.4,978.9,3.16,5298.5,5064.1,,,4169.3,2635.87,141.9,893.8,4907.4,18934.9,4303.8,1355.6,3.5,298.15,297.55,8256.8
Crompton Greaves Ltd.,57761,53724.8,,6,52080.5,39747.09,1111.3,14466,267.8,37830.6,21268.5,6711.6,9.56,65073.3,60678.4,,,58698.4,46393,922.8,15293.4,134,44183.7,21739.5,2393.8,7.64,264.6,121.2,29257.4
Cummins India Ltd.,31572,28585.1,8.4,,26936.3,21063.61,679.2,5209.2,0,23915.8,10055.7,5759.4,6.51,43803.4,40345.2,,2.3,38356.3,30115.47,591.7,7000.6,,29070.8,13479,4292.5,7.65,485.82,449.45,22204.3
D C B Bank Ltd.,5691.3,,,2.5,6475.8,927.82,5508.7,2194.6,5035.1,61512.3,4238.2,-564.3,1.19,6483.6,,10.5,0.8,6269.3,1014.04,6367,2951.9,4857.1,74250.2,6150.8,868.1,1.62,59.95,42.8,59576.3
D L F Ltd.,32341.7,23979.9,32.8,2.6,24670.7,8382.89,7769.2,19653.5,115215.6,289508.8,88244.1,3663.4,4.09,41843.3,29056.7,0,3.2,29147.5,7474.73,12211.9,53069.4,125114.5,347905.6,132397.5,14860.3,3.3,220.3,198.55,251488.3
Dabur India Ltd.,29350.9,28634,24.4,4.3,25116.3,16248.07,342.4,4359.6,151.9,17792.2,6047.7,4794.5,18.39,33404,32687.3,17.2,2.2,29469,19377.57,264.9,5312.9,109.4,24410.7,8805.8,3190.2,15.19,116.6,114.55,15865.1
Deccan Chronicle Holdings Ltd.,9232.5,8911,,13,6623.3,3729.26,,3730.6,3423.3,20530.9,8492.3,3872.7,2.97,10317,9737.5,,7.9,9191.8,5217.99,279.9,519,3372.7,22086,11353.5,1403.2,1.53,70.55,31.85,18463.7
Dena Bank,46210.5,,,5,41098,4294.58,43430.1,19133.9,15619.2,575890.6,56565.6,26538.2,0.94,55877,,,3.8,49760.7,4916.09,52824.8,11048.4,16916.6,708387.1,60724.1,30301.2,1,90.75,98.75,484647.5
Dish T V India Ltd.,11534.3,9079.2,,80.2,14152.5,9829.13,2156.4,13887.2,6594.2,28773.3,5815,46.9,9.73,15245.9,11856.6,,171,17159.4,11097.15,2828,12106.8,5317.3,26878.1,3486,4004.4,113.61,90.45,63.7,20972.2
Divi'S Laboratories Ltd.,9668.6,9371.4,1.5,,7217.4,4822.62,169.3,1632.5,272.6,18884.7,7273.2,3581.5,5.81,13581.3,13133.7,,,8879.6,7522.57,288.8,2313.8,94.2,23116.1,9540.3,3261,4.9,397.57,512.58,15748.4
Dr. Reddy'S Laboratories Ltd.,50870,47997,,5,43582,28160.5,1681,14475,5593,90367,23804,12354,3.64,59415,56668,,12,51271,34918.5,1097,11508,14379,102673,30888,2463,4.61,1526.9,1648.15,77492
Educomp Solutions Ltd.,8753.1,8211.7,183.8,,6537.2,3259.87,185.5,1655.7,5190.9,22002.1,11704,2884.2,5.8,10698.6,10197,,2.8,6879.8,4334.24,390,2456,6474.9,26490.2,8451.2,3271.2,2.47,396.75,169.5,11798.3
Escorts Ltd.,28594.7,27500.6,8,,27776.8,22122.47,403.4,7310.3,2164.8,31931.5,9518.6,605.7,1.35,33533.5,32337.1,9.9,,32681.3,26901.03,377.9,8570.9,2824.8,32452.3,10408,1862.5,0.43,115.35,68.55,28165.1
Essar Oil Ltd.,432781,364378.7,414.9,,435594.5,349633.88,8086.8,101589.3,86482.7,260059.7,76528.9,14153.7,4.74,536966.5,472659.4,0,10834.3,551059.8,442730.12,2386.9,156154.3,122657.2,347838.7,128377.2,11802,4.83,122.45,55.1,221137.7
Everest Kanto Cylinder Ltd.,4348.5,3510.5,4.9,103.2,4216,3139.04,283.7,1010.1,2188.9,9607.8,2953.7,274.7,2.8,4145.8,3813.5,,0.7,3495.5,3100.51,87.1,710.3,2195.3,9842.4,2440.4,619.1,1.59,91.15,30.85,9747.9
Exide Industries Ltd.,45860.3,37997.2,0.5,4,40960.3,25968.56,335.6,4943.3,898.2,29713.3,8713.1,5238.4,4.78,52270.9,45843.2,678.4,4.6,47484.4,32903.07,1019.8,6587.4,20.9,36229,12527.7,3977.9,4.49,161.45,136.65,21211.5
Federal Bank Ltd.,43258.1,,3.9,,38612.6,3369.76,41126,11512.2,10467.6,438223.1,30806.7,-448.2,0.97,45688.4,,3.3,,39817.6,4249.21,44087.6,10808.4,18883.6,516990.8,43356.6,23310.4,1.4,45.11,44.86,389765.9
