||||||||||||||||||||||||||NSE|NSE
||Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Finance S / Interim SQ|Finance S / Interim SQ
||Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Times|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Times|Rs. Million|Rs. Million
||Jun 2007|Jun 2007|Jun 2007|Jun 2007|Jun 2007|Jun 2007|Jun 2007|Jun 2007|Jun 2007|Jun 2007|Jun 2007|Jun 2007|Jun 2008|Jun 2008|Jun 2008|Jun 2008|Jun 2008|Jun 2008|Jun 2008|Jun 2008|Jun 2008|Jun 2008|Jun 2008|Jun 2008|31 Jul 2008|31 Jul 2009
Company Name|NSE symbol|Total income|Sales|Income from financial services|Extra-ordinary income|Total expenses|Cost of goods sold|Borrowings|Current liabilities|Total assets|Current assets|Net cash flow from operating activities|PB on NSE|Total income|Sales|Income from financial services|Extra-ordinary income|Total expenses|Cost of goods sold|Borrowings|Current liabilities|Total assets|Current assets|Net cash flow from operating activities|PB on NSE|Market Capitalisation|Market Capitalisation
Bharat Petroleum Corpn. Ltd.|BPCL|1082455.40|1074522.70|4809.70||1066456.00|905475.39|108292.30|102006.20|342407.20|125475.20|46035.60|1.07|1232503.20|1216840.70|10505.90||1212773.50|1045209.42|150223.80|135945.70|432489.20|185616.70|3556.90|1.26|118549.66|171370.97
Bharti Airtel Ltd.|BHARTIARTL|180055.80|178516.10|549.30|24.10|139732.20|97075.20|53107.90|94294.20|284464.40|33296.90|81079.50|12.66|260640.80|257035.10|1240.50|6.60|198205.60|138242.53|65703.40|119090.70|418592.10|41121.00|104598.60|7.75|1515979.89|1557085.04
Bhushan Steel Ltd.|BHUSANSTL|42822.60|42020.50|462.40|6.40|40641.70|32505.12|32419.80|8011.60|54022.10|16593.20|3516.50|1.80|47454.00|46727.40|520.30|6.60|45097.40|34327.86|57181.30|12443.20|88085.50|21308.90|4367.80|1.74|39377.60|33195.85
Biocon Ltd.|BIOCON|9178.00|8887.70|149.00|0.30|7813.60|6002.63|1067.70|1759.40|13104.60|4377.00|1133.10|5.17|12987.00|9050.70|195.50|3347.50|8757.40|6090.01|1459.90|1642.50|17544.50|4106.30|5266.00|3.24|38125.00|43710.00
Bombay Dyeing & Mfg. Co. Ltd.|BOMDYEING|5402.70|5014.20|172.80|84.60|5125.20|4872.20|10524.00|2637.00|18013.30|4849.20|105.30|5.29|11378.20|9913.30|197.80|966.70|10923.70|9123.12|14133.80|2801.60|22433.50|5066.50|553.50|6.00|23799.48|13618.28
Bombay Rayon Fashions Ltd.|BRFL|4970.10|4899.00|53.40||4840.70|3739.32|3334.50|650.80|9176.30|3543.70||2.07|9448.20|9270.60|172.60||9226.90|6924.91|7143.60|708.60|14469.10|5787.20|-990.40|3.10|21984.16|15190.24
Bongaigaon Refinery & Petrochemicals Ltd. [Merged]|BONGAIREFN|66147.20|65651.40|204.60||64618.10|51294.56|1046.70|4729.70|21918.80|10344.70|1664.50|0.83|68345.80|67453.80|466.80||67002.40|53531.57|3081.50|8414.10|29193.00|15693.80|1470.50|0.85|12708.42|
Bosch Ltd.|BOSCHLTD|51613.40|48296.40|1758.90|24.90|45788.40|31387.95|2518.10|8026.20|39810.20|17608.80|6169.60|6.43|55566.30|51313.30|3151.00|25.30|49562.30|35107.71|2643.60|7576.80|45574.30|23237.10|4694.90|3.28|119398.10|122805.81
Brigade Enterprises Ltd.|BRIGADE|4039.40|3903.50|12.30||3659.40|4627.88|2402.10|2921.60|7151.90|2605.20|-792.80|NA|4941.50|4762.30|85.30|2.20|4331.60|4882.34|2974.90|3147.50|16004.80|3196.10|-1402.60|2.04|14025.88|9866.95
C E S C Ltd.|CESC|26288.80|25747.70|489.90||23281.80|17678.51|18987.30|15487.80|76607.10|13885.00|10388.40|1.59|30118.30|28726.20|1007.40|269.10|26564.70|21386.65|18267.30|18352.90|85945.00|15249.50|10340.80|1.73|43665.11|39223.63
C M C Ltd. [Merged]|CMC|9947.10|9875.20|16.50||9065.10|7612.91|177.60|2937.10|7489.80|4425.10|1461.30|7.91|9902.30|9759.60|31.00||8977.80|6775.65|289.30|2683.80|8378.40|3979.90|909.20|4.02|7546.21|12390.43
Cairn India Ltd.|CAIRN|339.60|12.70|326.90||1127.80|436.31||138.40|294193.90|20.40|-90.00|1.56|2980.40|37.30|2787.30||2438.00|186.01||1076.80|321905.40|28284.30|-354.40|1.09|458073.11|446285.94
Canara Bank|CANBK|128763.60||122072.20|4.90|114555.50|13763.15|78250.70|52628.60|1660990.80|188578.20|84547.90|0.98|165090.50||155811.70|10.90|149440.40|14509.64|86324.90|71746.10|1806960.30|204238.80|59786.60|1.11|74907.00|117219.00
Central Bank Of India|CENTRALBK|69596.60||67656.60||64616.50|9357.94|29702.20|32172.70|933436.60|114526.40|27566.40|NA|88395.90||84921.90||82894.30|9786.87|28814.00|47877.90|1244635.50|156505.60|74776.90|1.13|23601.86|40939.53
Century Textiles & Inds. Ltd.|CENTURYTEX|36358.20|35866.10|142.20|79.20|33573.00|19329.57|13003.80|4128.50|32167.80|8212.50|3078.70|5.06|40042.20|39628.50|147.50|22.00|37436.60|21725.87|14182.50|5803.70|38870.90|8515.30|5851.60|5.26|44610.75|43936.17
Chambal Fertilisers & Chemicals Ltd.|CHAMBLFERT|26361.50|25977.10|93.10|230.50|25644.40|18992.44|20299.80|1368.10|36558.30|10011.80|-1270.30|1.27|28269.70|27290.90|633.60|290.70|25520.30|19872.78|18939.20|1740.20|36407.20|9101.70|4530.90|1.82|31569.37|23578.17
Chennai Petroleum Corpn. Ltd.|CHENNPETRO|294732.70|294255.40|333.80|2.80|292963.50|232803.41|18341.30|24744.10|84791.30|42924.80|14091.90|1.06|331718.60|330556.80|1017.20|0.30|325589.30|259429.17|24504.60|26092.20|105494.90|59993.90|859.30|1.21|44911.68|27183.78
Cipla Ltd.|CIPLA|37637.20|36579.50|629.10|18.90|30649.60|24300.91|1235.60|5281.30|44140.50|22009.50|3126.20|5.70|44288.70|42952.40|862.10|29.20|37688.10|28374.96|5404.50|8709.80|57440.70|26972.50|2002.80|4.56|170149.08|213793.99
