|||||||||||||||||||||||||||NSE|NSE
|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Finance S / Interim SQ|Finance S / Interim SQ
|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Times|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Rs. Million|Times|Rs.|Rs.
|Jun 2013|Jun 2013|Jun 2013|Jun 2013|Jun 2013|Jun 2013|Jun 2013|Jun 2013|Jun 2013|Jun 2013|Jun 2013|Jun 2013|Jun 2013|Jun 2014|Jun 2014|Jun 2014|Jun 2014|Jun 2014|Jun 2014|Jun 2014|Jun 2014|Jun 2014|Jun 2014|Jun 2014|Jun 2014|Jun 2014|01 Jul 2014|30 Jun 2015
Company Name|Total income|Net sales|Extra-ordinary income|Extra-ordinary expenses|Total expenses|Cost of goods sold|Income from financial services|Current liabilities|Total term liabilities|Total assets|Current assets|Net cash flow from operating activities|PB on NSE|Total income|Net sales|Extra-ordinary income|Extra-ordinary expenses|Total expenses|Cost of goods sold|Income from financial services|Current liabilities|Total term liabilities|Total assets|Current assets|Net cash flow from operating activities|PB on NSE|Adjusted Closing Price |Adjusted Closing Price 
Canara Bank|376441.20||24.20|14.90|347720.20|26812.73|364694.50|109984.80|202833.70|4126741.30|437461.70|219447.00|0.74|437957.80||27.70|16.60|413575.90|31398.89|419152.70|125877.80|272306.40|4922659.70|533456.10|115314.00|0.51|461.40|277.85
Century Textiles & Inds. Ltd.|66464.00|59894.20|26.70|26.30|67408.00|39899.54|128.50|8978.30|36977.10|91014.40|17101.40|4855.60|1.48|74112.70|67075.90|26.10|14.40|73975.00|44574.63|274.80|11003.50|40604.40|96156.00|19494.50|5824.70|1.93|610.00|705.20
Cipla Ltd.|85237.10|81805.20|23.70|159.70|73073.50|49411.25|1863.20|10661.40|6.90|122321.50|42693.40|13552.90|3.44|98363.00|94201.50|26.40|69.50|86060.80|60011.84|2332.00|12867.60|4.90|142729.90|44826.50|17851.90|3.05|437.25|615.40
Coal India Ltd.|115562.80|5863.30|0.00|0.00|17594.20|3573.86|108053.90|80515.90|11362.30|340478.90|189199.80|105429.80|9.52|165187.90|5646.40|0.40|0.10|15352.80|3554.24|158635.10|67124.10|0.00|250523.60|101778.00|136202.50|11.09|384.45|421.25
Colgate-Palmolive (India) Ltd.|33741.20|31395.00|0.00|17.50|28591.70|16854.08|400.00|7176.50||20481.40|6998.30|5531.40|34.49|39060.20|35498.60|644.10|0.00|33985.00|18495.92|358.20|7722.10||24192.70|5768.70|4007.80|31.11|765.23|1019.88
Crompton Greaves Ltd.|77629.20|71865.30|||73600.70|60140.28|908.70|19629.20|11.30|53858.50|28000.10|1686.60|1.98|83009.20|76111.70|0.00||77926.00|63293.70|1847.00|19540.10|8.90|57341.10|30710.70|2041.60|3.01|203.30|162.50
D L F Ltd.|33518.60|21385.80|0.00|31.40|28503.10|5651.61|11532.60|60627.40|117368.50|370376.40|178057.40|-1291.10|2.73|40255.40|24607.20|932.20|4848.20|34987.20|9153.04|13799.20|65636.70|114195.10|376565.50|186385.80|20488.30|1.89|216.55|116.90
Dabur India Ltd.|44933.40|43453.10|1.10|4.30|38767.50|26832.71|857.20|7087.70|13.00|33206.70|10339.70|6629.70|15.25|50358.80|48650.30|2.30|13.80|43761.10|29728.05|989.50|8519.70|0.00|37350.90|12469.40|6648.20|16.47|187.00|280.10
Dish T V India Ltd.|22886.80|19001.40||80.90|23561.60|16442.40|2052.20|9972.70|1869.40|31557.20|4160.60|6140.00|-46.02|25879.30|22585.00||379.40|27410.10|18244.47|1765.40|8075.30|3601.80|27737.80|3974.90|7078.20|-17.96|63.05|106.35
Divi'S Laboratories Ltd.|21927.60|21249.40|0.00|0.00|16825.40|11887.40|476.90|2872.00|25.60|35825.50|14068.20|4828.30|5.13|26161.80|25101.70|0.10|0.10|19376.20|13745.47|822.50|2946.90|21.00|43168.20|17269.90|5581.30|5.97|735.45|939.92
