,,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone
,,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Times,Rs.
,,Jun 2006,Jun 2006,Jun 2006,Jun 2006,Jun 2006,Jun 2006,Jun 2006,Jun 2006,Jun 2006,Jun 2006,Jun 2006,Jun 2006,Jun 2006,Jun 2006
Company Name,NSE symbol,Total income,Sales,Income from financial services,Extra-ordinary income,Total expenses,Cost of goods sold,Profit after tax,Borrowings,Current liabilities,Total assets,Current assets,Net cash flow from operating activities,PB on NSE,Closing price on NSE
Mangalore Refinery & Petrochemicals Ltd.,MRPL,283196.5,282428.6,168.5,,276546.4,235726.99,3716.2,33072.7,22789.2,91238.2,34453.3,8390.8,3.12,42.45
Maruti Suzuki India Ltd.,MARUTI,154209,151252,1889,,144678,102259,11891,1663,14112,77277,30020,12226,4.63,874.3
Mylan Laboratories Ltd.,MATRIXLABS,8408.4,7884.8,81.6,165.4,6911.9,5318.6,1823.8,1557.9,2370.2,14144.1,4215.3,1561.5,4.98,281.75
N T P C Ltd.,NTPC,304669,268813,28181,41,246467,198251,58202,202101,48974,760702,136510,55941,2.44,134.1
Nagarjuna Fertilizers & Chemicals Ltd. [Merged],NAGARFERT,14750.2,14543.6,100,,14023.3,10222.03,668.5,14532.7,1480.3,37564.2,4324.3,2821.5,0.67,13.8
National Aluminium Co. Ltd.,NATIONALUM,55455.3,53776.3,1210,348.1,40430.6,19337.34,15622,,6073.3,75151.8,31040.5,19654.2,3.21,293.65
New Delhi Television Ltd.,NDTV,2331.5,2279.5,33.4,1.6,2394,1101.54,-62.5,,431.6,2778.3,1240,63.2,7.65,257.75
Neyveli Lignite Corpn. Ltd.,NEYVELILIG,28288,22028.7,4129.4,1206.3,21267.2,12243.81,7020.8,12867.1,5938.2,113682.8,32945.7,10559.1,1.57,74.85
Oil & Natural Gas Corpn. Ltd.,ONGC,526511.2,497974.7,13450.5,6405.4,384319.3,227098.81,144307.8,1069.8,191426.5,1146358.9,160756.6,197243,3.47,1311.35
Orchid Chemicals & Pharmaceuticals Ltd.,ORCHIDCHEM,9053.8,8831.8,92.7,124.9,8403.2,5864.02,829,10282.4,1983.5,22225,7948.4,29.5,3.06,371.35
