,,,,,,,,,,,,,,,,,,,,,,,,,,NSE,NSE
,,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Finance S / Interim SQ,Finance S / Interim SQ
,,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Times,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Times,Rs. Million,Rs. Million
,,Jun 2008,Jun 2008,Jun 2008,Jun 2008,Jun 2008,Jun 2008,Jun 2008,Jun 2008,Jun 2008,Jun 2008,Jun 2008,Jun 2008,Jun 2009,Jun 2009,Jun 2009,Jun 2009,Jun 2009,Jun 2009,Jun 2009,Jun 2009,Jun 2009,Jun 2009,Jun 2009,Jun 2009,31 Jul 2009,30 Jun 2010
Company Name,NSE symbol,Total income,Sales,Income from financial services,Extra-ordinary income,Total expenses,Cost of goods sold,Borrowings,Current liabilities,Total assets,Current assets,Net cash flow from operating activities,PB on NSE,Total income,Sales,Income from financial services,Extra-ordinary income,Total expenses,Cost of goods sold,Borrowings,Current liabilities,Total assets,Current assets,Net cash flow from operating activities,PB on NSE,Market Capitalisation,Market Capitalisation
Bosch Ltd.,BOSCHLTD,55566.30,51313.30,3151.00,25.30,49562.30,35107.71,2643.60,7576.80,45574.30,23237.10,4694.90,3.28,55715.30,51075.50,2801.70,8.00,50142.10,36581.17,2843.10,8545.30,50177.30,22761.80,8841.80,4.30,122805.81,168704.72
C E S C Ltd.,CESC,30118.30,28726.20,1007.40,269.10,26564.70,21386.65,18267.30,18352.90,85945.00,15249.50,10340.80,1.73,32609.70,30524.40,1275.90,16.90,28512.80,23314.93,24218.10,27371.80,103551.30,19583.20,11768.50,0.78,39223.63,46963.41
Cairn India Ltd.,CAIRN,2980.40,37.30,2787.30,,2438.00,186.01,,1076.80,321905.40,28284.30,-354.40,1.09,2980.40,37.30,2787.30,,2438.00,186.01,,1076.80,321905.40,28284.30,-354.40,1.09,446285.94,576319.22
Canara Bank,CANBK,165090.50,,155811.70,10.90,149440.40,14509.64,86324.90,71746.10,1806960.30,204238.80,59786.60,1.11,195494.70,,186090.80,8.30,174770.50,16233.15,140009.50,55593.00,2196458.10,205593.10,21686.40,0.68,117219.00,183987.50
Century Textiles & Inds. Ltd.,CENTURYTEX,40042.20,39628.50,147.50,22.00,37436.60,21725.87,14182.50,5803.70,38870.90,8515.30,5851.60,5.26,44496.20,43559.60,70.70,569.10,42867.50,24779.61,17623.50,6769.60,46317.40,9257.60,6666.80,1.38,43936.17,42889.41
Chambal Fertilisers & Chemicals Ltd.,CHAMBLFERT,28269.70,27290.90,633.60,290.70,25520.30,19872.78,18939.20,1740.20,36407.20,9101.70,4530.90,1.82,47308.00,46096.40,979.30,60.30,45487.50,35767.94,24812.20,11554.00,52845.20,14659.10,9644.80,1.41,23578.17,27594.58
Chennai Petroleum Corpn. Ltd.,CHENNPETRO,331718.60,330556.80,1017.20,0.30,325589.30,259429.17,24504.60,26092.20,105494.90,59993.90,859.30,1.21,379884.30,379458.40,216.30,1.80,371612.70,316085.69,15479.10,22364.00,83396.80,35119.70,17813.90,0.46,27183.78,37585.24
Cipla Ltd.,CIPLA,44288.70,42952.40,862.10,29.20,37688.10,28374.96,5404.50,8709.80,57440.70,26972.50,2002.80,4.56,53768.60,53091.30,238.20,23.60,47136.00,33953.94,9402.40,10128.50,76125.50,34301.60,3491.70,3.94,213793.99,271788.88
Colgate-Palmolive (India) Ltd.,COLPAL,16380.00,15973.00,214.50,8.40,14070.40,8069.30,46.90,3469.30,7164.40,2317.40,2421.20,32.08,18659.20,18106.60,357.30,98.10,15767.40,9564.83,46.90,3945.40,7897.20,3518.90,2828.10,29.63,90720.81,113846.39
Container Corpn. Of India Ltd.,CONCOR,35127.70,33478.70,1394.10,,27605.60,24439.51,1226.60,2917.10,39068.50,16031.20,7193.00,3.52,36291.40,34176.00,1739.60,102.60,28379.40,24369.74,1044.50,3779.40,45901.60,18656.40,8182.10,2.48,143013.57,175476.77
Corporation Bank,CORPBANK,53216.00,,50255.00,,45866.10,3959.85,29376.10,36299.80,666160.80,92004.90,53621.10,0.96,72926.60,,69767.20,,63998.90,4590.78,48099.00,28637.70,869224.80,120258.30,103522.70,0.53,49730.65,75341.86
Crompton Greaves Ltd.,CROMPGREAV,44791.70,44017.70,641.10,7.10,40687.50,30731.38,875.60,10412.00,23986.10,13948.30,4357.50,11.02,50902.10,50342.80,410.90,,46803.50,35728.22,536.70,11876.70,29257.40,18052.20,5606.00,3.69,107990.52,165376.52
Cummins India Ltd.,CUMMINSIND,27536.70,26317.20,785.90,,24694.50,19091.14,325.20,4984.20,18032.10,8917.90,2443.50,5.78,38063.30,36402.60,608.00,192.00,33826.60,26282.11,228.70,5977.10,22204.30,12012.00,2211.60,2.63,54469.80,118255.50
D L F Ltd.,DLF,60620.60,55300.00,5178.60,0.60,34814.10,19595.23,83864.10,24979.00,234420.90,83929.30,-16158.40,9.77,38803.60,28340.70,9995.50,0.10,23000.00,5540.64,96149.70,16345.80,251488.30,82654.60,13377.30,2.29,672428.31,489955.44
Dabur India Ltd.,DABUR,21478.40,21281.70,112.70,4.80,18349.60,12200.77,166.90,3178.70,11607.40,3750.50,3219.90,18.12,24759.70,24359.30,299.50,4.20,21420.20,14312.86,1406.60,3319.20,15865.10,5301.20,3369.50,11.63,119136.03,183249.34
Deccan Chronicle Holdings Ltd.,DCHL,8202.50,7823.70,5.70,,5483.10,2714.67,6728.70,2157.00,20983.60,10695.30,4378.80,3.72,8576.20,8149.40,,0.80,7175.50,4919.28,3679.60,2588.30,18463.70,6838.40,2067.30,1.00,24940.78,30068.82
Dena Bank,DENABANK,33027.40,,29369.60,299.60,29429.50,3142.70,13127.90,13087.30,386514.10,44617.80,22670.90,0.93,40348.80,,37391.80,,36122.20,3861.04,14431.30,16071.00,484647.50,63424.80,42581.20,0.48,15803.96,26688.90
Dish T V India Ltd.,DISHTV,4239.70,4133.20,90.60,,8407.40,5143.19,5266.30,11340.80,12140.10,655.40,351.70,-4.66,7478.80,6369.70,1082.50,,12225.40,7492.75,11439.70,15715.00,20972.20,1099.80,-2667.20,-3.80,41829.66,50406.08
Divi'S Laboratories Ltd.,DIVISLAB,10745.90,10475.50,18.80,,7531.90,5617.88,860.80,1578.30,11974.60,5036.60,3021.20,9.37,12224.30,12038.20,97.20,,8965.10,6312.78,526.40,1616.00,15748.40,6928.00,2955.60,4.85,69523.51,102206.89
Dr. Reddy'S Laboratories Ltd.,DRREDDY,38007.00,36154.00,1511.00,,34193.00,22886.50,4623.00,6809.00,65333.00,20994.00,5435.00,2.07,46137.00,45315.00,677.00,13.00,41169.00,27164.80,6403.00,10502.00,77492.00,25582.00,4706.00,1.57,138357.76,245470.61
Educomp Solutions Ltd.,EDUCOMP,2843.00,2621.00,219.30,,2124.00,1344.60,3672.40,483.40,7473.90,4007.90,675.40,22.99,5274.80,5011.70,257.40,,4233.20,2209.22,5227.20,1331.40,11798.30,3986.10,842.40,8.51,77706.05,50826.95
Essar Oil Ltd.,ESSAROIL,6688.00,6519.30,87.30,31.20,6107.00,6135.62,100155.90,77152.70,214059.00,67516.70,-1267.20,6.99,426899.60,418163.80,7961.00,,422117.20,357194.36,100731.20,68659.90,221137.70,50109.10,22418.30,2.51,181430.97,192627.34
Everest Kanto Cylinder Ltd.,EKC,3933.10,3816.30,101.50,1.80,3448.70,2357.04,1875.70,715.10,7461.10,2822.80,60.00,6.88,3993.80,3860.50,121.60,5.60,3882.00,2512.47,3353.80,1278.80,9747.90,3122.90,140.70,3.09,18360.12,14455.57
Federal Bank Ltd.,FEDERALBNK,29258.60,,27774.20,1021.20,25578.10,2385.83,12619.50,11814.80,326084.80,30864.90,14105.40,0.94,38485.00,,36246.70,5.70,33480.10,2923.71,12189.40,9123.30,389765.90,38162.50,30117.10,0.55,41069.39,54232.11
Financial Technologies (India) Ltd.,FINANTECH,13550.70,1431.50,12087.10,,3938.60,534.59,3994.50,600.80,20026.00,3741.90,-2386.20,4.99,7183.00,3615.70,3503.30,,3496.60,1104.64,4611.00,734.20,24178.00,5390.70,1031.20,1.63,64792.28,61630.04
Firstsource Solutions Ltd.,FSL,5164.40,4939.10,193.10,0.80,4588.00,2748.61,11241.40,571.80,21459.30,1657.10,826.50,3.03,8377.60,5660.40,2036.40,636.10,8226.50,3254.57,13427.40,1161.70,24244.10,2036.10,468.70,0.70,11505.42,12183.84
G A I L (India) Ltd.,GAIL,191895.80,185808.10,4697.60,,166180.00,128430.00,12658.70,33610.20,218702.50,63340.80,34121.50,2.77,252175.60,244146.70,6010.30,,224188.60,182706.29,12001.30,41779.20,257359.50,59192.80,25778.80,2.11,421071.07,592759.49
G M R Infrastructure Ltd.,GMRINFRA,1125.00,100.00,1011.40,,498.00,45.49,4791.80,212.20,61050.50,1122.70,-565.60,4.84,1677.70,,1672.90,,701.00,71.83,4203.00,174.50,61409.00,13377.20,-261.50,3.03,261940.79,231599.87
G O L Offshore Ltd.,GTOFFSHORE,7509.40,6763.10,477.90,234.80,5477.30,2960.88,9301.40,1861.70,20577.90,5012.80,2793.60,3.31,9530.10,8951.60,553.30,13.60,7419.10,3696.33,19433.50,2423.90,28998.50,4780.90,3230.50,1.34,17822.08,16490.04
G T L Infrastructure Ltd.,GTLINFRA,2177.20,1398.60,287.80,61.20,2771.90,1425.17,24756.90,2162.00,37256.20,15393.90,-679.20,4.06,3894.70,2462.80,587.90,,3866.30,2640.41,35476.40,3691.10,52121.20,15958.30,3024.20,1.98,35594.49,45186.85
G T L Ltd.,GTL,15409.70,14333.30,835.90,218.90,14930.70,11170.47,7018.20,8914.10,25879.50,10952.20,2424.80,2.58,15207.90,14509.00,672.80,12.60,14823.90,11155.37,10112.50,10183.90,30733.10,14414.10,2544.90,2.30,28416.95,41417.42
G V K Power & Infrastructure Ltd.,GVKPIL,1193.20,269.70,919.10,,284.70,57.96,,12.50,17277.00,1235.60,-37.50,3.28,442.20,278.90,163.30,,232.20,83.14,,25.30,17427.90,128.00,51.30,1.89,68537.73,69880.06
Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,20706.10,17962.20,2493.60,32.20,14963.50,8634.10,56.50,2716.00,40308.70,12452.50,2676.00,6.32,21160.80,19703.50,1011.30,326.60,16362.10,9474.71,54.20,3166.60,44485.20,20133.70,4487.80,7.76,115886.43,184987.15
Grasim Industries Ltd.,GRASIM,121734.80,116047.20,4656.60,290.70,100817.30,52536.81,32018.70,16039.10,141692.10,18196.90,20910.30,2.90,124697.60,121790.30,1831.50,21.00,108386.70,61102.61,33949.50,16869.30,160680.40,20531.10,20680.60,1.53,251551.02,167565.48
Great Eastern Shipping Co. Ltd.,GESHIP,32039.10,25945.70,2885.50,3053.00,18471.00,11675.19,24845.80,4244.10,72422.90,13091.70,16353.20,1.38,33748.70,28362.80,2561.70,2549.70,19900.50,11206.66,30665.50,7626.30,89266.50,20803.60,17690.10,0.59,39290.74,44590.42
Gujarat State Petronet Ltd.,GSPL,4473.10,4178.90,255.90,,3473.90,1793.00,9650.40,4209.30,27177.50,3480.90,5778.90,2.77,5119.20,4875.00,233.20,,3885.10,1927.25,11479.50,3771.80,30138.80,2479.70,2037.70,1.77,40507.80,57542.13
H C L Technologies Ltd.,HCLTECH,47862.40,46177.60,1657.10,4.50,40056.00,17023.61,253.30,18288.50,57985.60,19275.20,10389.00,5.24,49415.90,46750.90,2620.70,7.90,40314.40,18988.64,5137.30,22159.90,70863.50,34019.20,5290.50,3.57,161531.84,247179.13
H D F C Bank Ltd.,HDFCBANK,126865.30,,126795.00,7.00,110963.40,12847.98,78440.20,121807.00,1332510.10,181931.30,199333.70,4.10,198386.80,,197987.20,41.90,175937.40,21443.59,91636.40,149848.60,1833586.80,217063.10,36615.40,2.83,639674.65,882146.46
Hindalco Industries Ltd.,HINDALCO,220965.80,209935.60,4650.90,,193774.40,147996.80,83285.80,28947.80,309921.60,68920.90,21398.50,1.17,205265.80,196951.00,5991.90,64.00,177586.30,140546.24,83242.90,18689.10,362701.40,61873.20,31703.90,0.37,170537.16,276497.33
Hindustan Construction Co. Ltd.,HCC,26941.50,26492.40,415.80,,30332.20,24283.23,18448.60,10174.20,40916.30,24367.60,1831.90,3.43,32086.90,31237.00,161.60,616.30,32922.90,25407.75,23218.00,14026.00,51032.80,29583.60,1045.60,1.01,35586.34,36284.64
Hindustan Petroleum Corpn. Ltd.,HINDPETRO,1145935.10,1130472.20,9828.60,,1158184.10,999628.19,167867.00,117422.20,416518.20,184111.20,-17299.30,0.82,1336576.00,1325886.20,6125.60,8.10,1312460.30,1187890.47,227555.10,105102.60,472075.60,152987.90,58235.00,0.85,118265.57,158985.49
Hindustan Unilever Ltd.,HINDUNILVR,225242.80,219491.70,2887.30,2116.00,204621.60,126405.51,4219.40,42558.30,85202.80,49276.00,19806.30,25.12,225242.80,219491.70,2887.30,2116.00,204621.60,126405.51,4219.40,42558.30,85202.80,49276.00,19806.30,25.12,635627.43,583815.61
