,,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone
,,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Rs. Million,Times,Rs.
,,Jun 2007,Jun 2007,Jun 2007,Jun 2007,Jun 2007,Jun 2007,Jun 2007,Jun 2007,Jun 2007,Jun 2007,Jun 2007,Jun 2007,Jun 2007,Jun 2007
Company Name,NSE symbol,Total income,Sales,Income from financial services,Extra-ordinary income,Total expenses,Cost of goods sold,Profit after tax,Borrowings,Current liabilities,Total assets,Current assets,Net cash flow from operating activities,PB on NSE,Closing price on NSE
Neyveli Lignite Corpn. Ltd.,NEYVELILIG,27107.1,21081.1,4711,221.3,21448.7,13293.66,5658.4,15057,12366.6,131473.2,50461.3,10917.6,1.02,50.4
Oil & Natural Gas Corpn. Ltd.,ONGC,637748.5,596869,20257.5,4750.6,481122,293041.62,156429.2,3737.4,235523,1371875.7,261923.1,222140.4,3.04,880.8
Orchid Chemicals & Pharmaceuticals Ltd.,ORCHIDCHEM,9641.3,9341.9,230.5,55.8,10072.5,5604.91,966.3,16319.2,2132.8,29491.6,10951,1085.6,3.44,261.95
Oriental Bank Of Commerce,ORIENTBANK,59831.8,,56436.2,449.2,54023.7,4885.85,5808.1,20981.2,20380.8,739362.9,83763,46598.5,0.84,187.65
Polaris Consulting & Services Ltd.,POLARIS,9092.6,9043,38.6,,8296.7,5045.28,795.9,12.9,940.4,7367.7,3634.6,677.9,3.12,180.6
Punj Lloyd Ltd.,PUNJLLOYD,23595.9,22767.2,629,64,22979.9,16189.94,615.8,15186.4,11895.1,39071.1,21391.5,-1827.1,3.86,162.45
Punjab National Bank,PNB,131688.5,,129811.6,10.2,116287.7,19087.16,15400.8,56436.6,60470.5,1625291.3,188346,-6229.5,1.47,474.2
Ranbaxy Laboratories Ltd. [Merged],RANBAXY,44061.6,36562,5251.6,675.1,38291,23032.41,6177.2,35030.3,8331.1,79791.9,21637.2,6385.6,6.26,425.5
Reliance Capital Ltd.,RELCAPITAL,8958.6,57.5,8898.8,,2496.8,423.23,6461.8,14013.6,978.2,67775.1,4616.9,-19060.8,3.18,668.3
Reliance Industries Ltd.,RELIANCE,1188325,1183537.1,3888.6,173.5,1075431.9,889918.86,119439.1,278257.3,168655.3,1176509.2,177073.5,168705.5,3.12,1370.3
